265
500
400	2
398	2
397	1
395	2
394	1
392	1
391	1
389	3
388	1
386	2
385	1
384	2
383	1
382	2
381	1
380	3
379	1
377	3
376	2
375	1
374	1
372	1
371	1
369	2
368	1
367	2
366	1
365	3
364	2
363	1
362	1
361	3
360	1
359	1
358	1
357	2
356	1
355	1
353	4
352	1
348	2
347	1
346	5
345	2
344	3
343	1
342	1
341	1
340	2
338	2
337	1
336	1
335	2
334	2
333	2
332	1
331	1
330	2
329	1
328	3
327	3
326	1
325	3
323	3
322	2
321	2
320	2
319	5
318	2
315	1
314	1
313	1
312	6
311	1
310	3
307	4
306	1
305	3
304	2
302	1
301	1
299	3
298	4
296	2
294	1
292	2
291	4
290	2
287	1
283	2
280	3
279	1
278	1
277	1
276	1
275	3
274	1
273	1
271	2
270	2
269	1
268	1
267	2
266	2
265	1
264	2
263	2
260	2
259	3
258	2
257	1
256	1
255	1
254	1
252	1
251	1
249	2
248	1
247	2
246	2
244	2
243	3
242	1
241	2
239	1
238	2
237	1
234	2
233	2
230	2
229	1
226	1
225	1
219	1
217	1
216	1
215	1
214	2
213	2
211	3
210	1
209	2
207	1
206	3
205	6
204	2
202	1
201	2
200	2
199	4
197	2
196	1
195	2
194	2
193	2
192	2
191	1
188	2
186	1
184	2
183	1
182	3
181	3
180	1
179	2
178	2
176	3
175	2
174	1
173	4
171	4
170	4
169	2
168	2
167	2
164	1
163	2
162	1
161	2
160	1
159	1
158	1
157	1
155	2
154	2
153	2
152	1
150	1
149	2
148	1
147	2
146	1
145	3
142	2
141	3
140	1
139	1
136	5
135	1
133	3
131	1
130	3
129	2
127	2
126	2
125	2
124	2
123	2
121	1
119	2
117	1
116	4
115	1
114	4
113	1
112	2
111	4
109	1
108	3
107	1
105	3
104	1
103	2
100	3
99	1
98	1
96	5
95	2
93	1
91	3
90	2
89	1
87	1
86	2
85	1
84	3
83	1
82	2
81	1
80	4
79	5
78	1
77	2
76	1
74	2
72	2
71	3
70	3
69	1
68	2
67	3
65	1
64	4
63	2
62	2
61	1
60	2
58	1
57	2
56	2
55	1
54	2
52	1
51	4
50	1
